ORDERNUMBER,QUANTITYORDERED,PRICEEACH,PRICETOTAL,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,CUSTOMERNAME,CITY,STATE,COUNTRY,DEALSIZE
10403,24,100.0,2400.0,2,4,2005,Motorcycles,"UK Collectables, Ltd.",Liverpool,,UK,Small
10417,66,100.0,6600.0,2,5,2005,Motorcycles,Euro Shopping Channel,Madrid,,Spain,Large
10103,26,100.0,2600.0,1,1,2003,Classic Cars,Baane Mini Imports,Stavern,,Norway,Medium
10112,29,100.0,2900.0,1,3,2003,Classic Cars,"Volvo Model Replicas, Co",Lule,,Sweden,Large
10126,38,100.0,3800.0,2,5,2003,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,,Spain,Large
10140,37,100.0,3700.0,3,7,2003,Classic Cars,Technics Stores Inc.,Burlingame,CA,USA,Large
10150,45,100.0,4500.0,3,9,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,,Singapore,Large
10163,21,100.0,2100.0,4,10,2003,Classic Cars,Classic Legends Inc.,NYC,NY,USA,Medium
10174,34,100.0,3400.0,4,11,2003,Classic Cars,"Australian Gift Network, Co",South Brisbane,Queensland,Australia,Large
10183,23,100.0,2300.0,4,11,2003,Classic Cars,"Classic Gift Ideas, Inc",Philadelphia,PA,USA,Medium
10194,42,100.0,4200.0,4,11,2003,Classic Cars,"Saveley & Henriot, Co.",Lyon,,France,Large
10206,47,100.0,4700.0,4,12,2003,Classic Cars,Canadian Gift Exchange Network,Vancouver,BC,Canada,Large
10215,35,100.0,3500.0,1,1,2004,Classic Cars,West Coast Collectables Co.,Burbank,CA,USA,Medium
10228,29,100.0,2900.0,1,3,2004,Classic Cars,Cambridge Collectables Co.,Cambridge,MA,USA,Medium
10245,34,100.0,3400.0,2,5,2004,Classic Cars,Super Scale Inc.,New Haven,CT,USA,Medium
10258,32,100.0,3200.0,2,6,2004,Classic Cars,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,Japan,Large
10270,21,100.0,2100.0,3,7,2004,Classic Cars,Souveniers And Things Co.,Chatswood,NSW,Australia,Medium
10280,34,100.0,3400.0,3,8,2004,Classic Cars,Amica Models & Co.,Torino,,Italy,Large
10291,37,100.0,3700.0,3,9,2004,Classic Cars,Scandinavian Gift Ideas,Boras,,Sweden,Large
10304,47,100.0,4700.0,4,10,2004,Classic Cars,Auto Assoc. & Cie.,Versailles,,France,Large
10312,48,100.0,4800.0,4,10,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Large
10322,40,100.0,4000.0,4,11,2004,Classic Cars,Online Diecast Creations Co.,Nashua,NH,USA,Medium
10333,26,100.0,2600.0,4,11,2004,Classic Cars,Mini Wheels Co.,San Francisco,CA,USA,Medium
10347,30,100.0,3000.0,4,11,2004,Classic Cars,"Australian Collectors, Co.",Melbourne,Victoria,Australia,Medium
10357,32,100.0,3200.0,4,12,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Medium
10369,41,100.0,4100.0,1,1,2005,Classic Cars,Collectables For Less Inc.,Brickhaven,MA,USA,Medium
10381,36,100.0,3600.0,1,2,2005,Classic Cars,Corporate Gift Ideas Co.,San Francisco,CA,USA,Large
10391,24,100.0,2400.0,1,3,2005,Classic Cars,"Anna's Decorations, Ltd",North Sydney,NSW,Australia,Small
10411,23,100.0,2300.0,2,5,2005,Classic Cars,Quebec Home Shopping Network,Montreal,Quebec,Canada,Medium
10424,50,100.0,5000.0,2,5,2005,Classic Cars,Euro Shopping Channel,Madrid,,Spain,Large
10107,39,99.91,3896.49,1,2,2003,Motorcycles,Land of Toys Inc.,NYC,NY,USA,Medium
10120,29,96.34,2793.86,2,4,2003,Motorcycles,"Australian Collectors, Co.",Melbourne,Victoria,Australia,Small
10134,27,100.0,2700.0,3,7,2003,Motorcycles,Lyon Souveniers,Paris,,France,Medium
10145,37,100.0,3700.0,3,8,2003,Motorcycles,Toys4GrownUps.com,Pasadena,CA,USA,Medium
10159,37,100.0,3700.0,4,10,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,CA,USA,Medium
10168,27,100.0,2700.0,4,10,2003,Motorcycles,Technics Stores Inc.,Burlingame,CA,USA,Medium
10180,42,100.0,4200.0,4,11,2003,Motorcycles,Daedalus Designs Imports,Lille,,France,Medium
10188,38,96.34,3660.92,4,11,2003,Motorcycles,Herkku Gifts,Bergen,,Norway,Medium
10201,24,100.0,2400.0,4,12,2003,Motorcycles,Mini Wheels Co.,San Francisco,CA,USA,Medium
10210,23,100.0,2300.0,1,1,2004,Motorcycles,Osaka Souveniers Co.,Osaka,Osaka,Japan,Medium
10223,47,100.0,4700.0,1,2,2004,Motorcycles,"Australian Collectors, Co.",Melbourne,Victoria,Australia,Medium
10236,22,100.0,2200.0,2,4,2004,Motorcycles,Motor Mint Distributors Inc.,Philadelphia,PA,USA,Small
10251,44,100.0,4400.0,2,5,2004,Motorcycles,Tekni Collectables Inc.,Newark,NJ,USA,Medium
10263,40,100.0,4000.0,2,6,2004,Motorcycles,Gift Depot Inc.,Bridgewater,CT,USA,Medium
10275,22,100.0,2200.0,3,7,2004,Motorcycles,La Rochelle Gifts,Nantes,,France,Small
10285,47,100.0,4700.0,3,8,2004,Motorcycles,Marta's Replicas Co.,Cambridge,MA,USA,Medium
10298,39,96.34,3757.26,3,9,2004,Motorcycles,Atelier graphique,Nantes,,France,Medium
10308,34,100.0,3400.0,4,10,2004,Motorcycles,Mini Classics,White Plains,NY,USA,Medium
10318,45,100.0,4500.0,4,11,2004,Motorcycles,Diecast Classics Inc.,Allentown,PA,USA,Medium
10329,20,100.0,2000.0,4,11,2004,Motorcycles,Land of Toys Inc.,NYC,NY,USA,Medium
10339,40,68.92,2756.8,4,11,2004,Motorcycles,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,Japan,Small
10361,26,51.15,1329.9,4,12,2004,Motorcycles,Souveniers And Things Co.,Chatswood,NSW,Australia,Small
10374,39,100.0,3900.0,1,2,2005,Motorcycles,"Australian Gift Network, Co",South Brisbane,Queensland,Australia,Medium
10388,50,44.51,2225.5,1,3,2005,Motorcycles,FunGiftIdeas.com,New Bedford,MA,USA,Small
10402,45,100.0,4500.0,2,4,2005,Motorcycles,Auto Canal Petit,Paris,,France,Medium
10417,45,100.0,4500.0,2,5,2005,Motorcycles,Euro Shopping Channel,Madrid,,Spain,Medium
10107,27,100.0,2700.0,1,2,2003,Motorcycles,Land of Toys Inc.,NYC,NY,USA,Medium
10120,46,100.0,4600.0,2,4,2003,Motorcycles,"Australian Collectors, Co.",Melbourne,Victoria,Australia,Large
10134,31,100.0,3100.0,3,7,2003,Motorcycles,Lyon Souveniers,Paris,,France,Large
10145,33,100.0,3300.0,3,8,2003,Motorcycles,Toys4GrownUps.com,Pasadena,CA,USA,Medium
10159,22,100.0,2200.0,4,10,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,CA,USA,Medium
10168,20,100.0,2000.0,4,10,2003,Motorcycles,Technics Stores Inc.,Burlingame,CA,USA,Medium
10180,41,100.0,4100.0,4,11,2003,Motorcycles,Daedalus Designs Imports,Lille,,France,Large
10188,45,100.0,4500.0,4,11,2003,Motorcycles,Herkku Gifts,Bergen,,Norway,Large
10201,49,100.0,4900.0,4,12,2003,Motorcycles,Mini Wheels Co.,San Francisco,CA,USA,Large
10210,34,100.0,3400.0,1,1,2004,Motorcycles,Osaka Souveniers Co.,Osaka,Osaka,Japan,Medium
10223,49,100.0,4900.0,1,2,2004,Motorcycles,"Australian Collectors, Co.",Melbourne,Victoria,Australia,Large
10237,39,100.0,3900.0,2,4,2004,Motorcycles,Vitachrome Inc.,NYC,NY,USA,Large
10251,43,100.0,4300.0,2,5,2004,Motorcycles,Tekni Collectables Inc.,Newark,NJ,USA,Large
10263,41,100.0,4100.0,2,6,2004,Motorcycles,Gift Depot Inc.,Bridgewater,CT,USA,Large
10275,36,100.0,3600.0,3,7,2004,Motorcycles,La Rochelle Gifts,Nantes,,France,Medium
10285,27,100.0,2700.0,3,8,2004,Motorcycles,Marta's Replicas Co.,Cambridge,MA,USA,Medium
10299,29,100.0,2900.0,3,9,2004,Motorcycles,"Toys of Finland, Co.",Helsinki,,Finland,Medium
10308,20,100.0,2000.0,4,10,2004,Motorcycles,Mini Classics,White Plains,NY,USA,Medium
10318,37,100.0,3700.0,4,11,2004,Motorcycles,Diecast Classics Inc.,Allentown,PA,USA,Large
10329,26,100.0,2600.0,4,11,2004,Motorcycles,Land of Toys Inc.,NYC,NY,USA,Medium
10339,39,76.67,2990.13,4,11,2004,Motorcycles,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,Japan,Small
10362,22,100.0,2200.0,1,1,2005,Motorcycles,Technics Stores Inc.,Burlingame,CA,USA,Medium
10374,22,100.0,2200.0,1,2,2005,Motorcycles,"Australian Gift Network, Co",South Brisbane,Queensland,Australia,Medium
10388,21,86.77,1822.17,1,3,2005,Motorcycles,FunGiftIdeas.com,New Bedford,MA,USA,Small
10403,66,100.0,6600.0,2,4,2005,Motorcycles,"UK Collectables, Ltd.",Liverpool,,UK,Large
10417,56,100.0,5600.0,2,5,2005,Motorcycles,Euro Shopping Channel,Madrid,,Spain,Large
10105,50,100.0,5000.0,1,2,2003,Classic Cars,Danish Wholesale Imports,Kobenhavn,,Denmark,Large
10119,46,100.0,4600.0,2,4,2003,Classic Cars,Salzburg Collectables,Salzburg,,Austria,Medium
10129,33,100.0,3300.0,2,6,2003,Classic Cars,"Stylish Desk Decors, Co.",London,,UK,Medium
10143,49,100.0,4900.0,3,8,2003,Classic Cars,Mini Creations Ltd.,New Bedford,MA,USA,Medium
10155,32,100.0,3200.0,4,10,2003,Classic Cars,"Toys of Finland, Co.",Helsinki,,Finland,Medium
10167,44,100.0,4400.0,4,10,2003,Classic Cars,Scandinavian Gift Ideas,Boras,,Sweden,Medium
10178,24,100.0,2400.0,4,11,2003,Classic Cars,Alpha Cognac,Toulouse,,France,Medium
10186,26,100.0,2600.0,4,11,2003,Classic Cars,"Double Decker Gift Stores, Ltd",London,,UK,Medium
10197,45,100.0,4500.0,4,11,2003,Classic Cars,Enaco Distributors,Barcelona,,Spain,Medium
10209,39,100.0,3900.0,1,1,2004,Classic Cars,"Men 'R' US Retailers, Ltd.",Los Angeles,CA,USA,Medium
10222,49,100.0,4900.0,1,2,2004,Classic Cars,Collectable Mini Designs Co.,San Diego,CA,USA,Medium
10248,20,100.0,2000.0,2,5,2004,Classic Cars,Land of Toys Inc.,NYC,NY,USA,Small
10261,27,100.0,2700.0,2,6,2004,Classic Cars,Quebec Home Shopping Network,Montreal,Quebec,Canada,Medium
10273,30,100.0,3000.0,3,7,2004,Classic Cars,Petit Auto,Bruxelles,,Belgium,Medium
10283,25,100.0,2500.0,3,8,2004,Classic Cars,"Royal Canadian Collectables, Ltd.",Tsawassen,BC,Canada,Small
10295,24,100.0,2400.0,3,9,2004,Classic Cars,Gifts4AllAges.com,Boston,MA,USA,Medium
10307,22,100.0,2200.0,4,10,2004,Classic Cars,"Classic Gift Ideas, Inc",Philadelphia,PA,USA,Small
10316,33,100.0,3300.0,4,11,2004,Classic Cars,giftsbymail.co.uk,Cowes,Isle of Wight,UK,Medium
10325,47,64.93,3051.71,4,11,2004,Classic Cars,Baane Mini Imports,Stavern,,Norway,Medium
10337,25,48.05,1201.25,4,11,2004,Classic Cars,Classic Legends Inc.,NYC,NY,USA,Small
10350,26,75.47,1962.22,4,12,2004,Classic Cars,Euro Shopping Channel,Madrid,,Spain,Small
10359,48,54.68,2624.64,4,12,2004,Classic Cars,Reims Collectables,Reims,,France,Small
10373,39,100.0,3900.0,1,1,2005,Classic Cars,"Oulu Toy Supplies, Inc.",Oulu,,Finland,Medium
10384,34,100.0,3400.0,1,2,2005,Classic Cars,Corporate Gift Ideas Co.,San Francisco,CA,USA,Medium
10395,32,100.0,3200.0,1,3,2005,Classic Cars,Lyon Souveniers,Paris,,France,Medium
10400,64,100.0,6400.0,2,4,2005,Classic Cars,The Sharp Gifts Warehouse,San Jose,CA,USA,Large
10414,19,100.0,1900.0,2,5,2005,Classic Cars,Gifts4AllAges.com,Boston,MA,USA,Small
10103,42,100.0,4200.0,1,1,2003,Classic Cars,Baane Mini Imports,Stavern,,Norway,Medium
10114,31,100.0,3100.0,2,4,2003,Classic Cars,"La Corne D'abondance, Co.",Paris,,France,Medium
10126,22,100.0,2200.0,2,5,2003,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,,Spain,Medium
10140,26,100.0,2600.0,3,7,2003,Classic Cars,Technics Stores Inc.,Burlingame,CA,USA,Medium
10150,20,100.0,2000.0,3,9,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,,Singapore,Medium
10164,21,100.0,2100.0,4,10,2003,Classic Cars,Mini Auto Werke,Graz,,Austria,Medium
10175,33,100.0,3300.0,4,11,2003,Classic Cars,"Stylish Desk Decors, Co.",London,,UK,Medium
10183,28,100.0,2800.0,4,11,2003,Classic Cars,"Classic Gift Ideas, Inc",Philadelphia,PA,USA,Medium
10194,26,100.0,2600.0,4,11,2003,Classic Cars,"Saveley & Henriot, Co.",Lyon,,France,Medium
10207,31,100.0,3100.0,4,12,2003,Classic Cars,Diecast Collectables,Boston,MA,USA,Medium
10217,48,100.0,4800.0,1,2,2004,Classic Cars,Handji Gifts& Co,Singapore,,Singapore,Large
10229,50,100.0,5000.0,1,3,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Medium
10245,28,100.0,2800.0,2,5,2004,Classic Cars,Super Scale Inc.,New Haven,CT,USA,Medium
10259,26,100.0,2600.0,2,6,2004,Classic Cars,Handji Gifts& Co,Singapore,,Singapore,Medium
10270,32,100.0,3200.0,3,7,2004,Classic Cars,Souveniers And Things Co.,Chatswood,NSW,Australia,Medium
10281,44,100.0,4400.0,3,8,2004,Classic Cars,Diecast Classics Inc.,Allentown,PA,USA,Large
10291,30,100.0,3000.0,3,9,2004,Classic Cars,Scandinavian Gift Ideas,Boras,,Sweden,Medium
10305,38,100.0,3800.0,4,10,2004,Classic Cars,Marta's Replicas Co.,Cambridge,MA,USA,Medium
10313,40,100.0,4000.0,4,10,2004,Classic Cars,Canadian Gift Exchange Network,Vancouver,BC,Canada,Medium
10322,46,61.99,2851.54,4,11,2004,Classic Cars,Online Diecast Creations Co.,Nashua,NH,USA,Small
10334,26,100.0,2600.0,4,11,2004,Classic Cars,"Volvo Model Replicas, Co",Lule,,Sweden,Medium
10347,27,100.0,2700.0,4,11,2004,Classic Cars,"Australian Collectors, Co.",Melbourne,Victoria,Australia,Medium
10357,43,100.0,4300.0,4,12,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Medium
10370,35,65.63,2297.05,1,1,2005,Classic Cars,"Anna's Decorations, Ltd",North Sydney,NSW,Australia,Small
10381,37,100.0,3700.0,1,2,2005,Classic Cars,Corporate Gift Ideas Co.,San Francisco,CA,USA,Medium
10391,37,46.9,1735.3,1,3,2005,Classic Cars,"Anna's Decorations, Ltd",North Sydney,NSW,Australia,Small
10411,27,100.0,2700.0,2,5,2005,Classic Cars,Quebec Home Shopping Network,Montreal,Quebec,Canada,Medium
10425,38,100.0,3800.0,2,5,2005,Classic Cars,La Rochelle Gifts,Nantes,,France,Medium
10108,33,100.0,3300.0,1,3,2003,Classic Cars,Cruz & Sons Co.,Makati City,,Philippines,Medium
10122,42,100.0,4200.0,2,5,2003,Classic Cars,Marseille Mini Autos,Marseille,,France,Large
10135,42,100.0,4200.0,3,7,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Large
10147,48,100.0,4800.0,3,9,2003,Classic Cars,Collectables For Less Inc.,Brickhaven,MA,USA,Large
10159,41,100.0,4100.0,4,10,2003,Classic Cars,Corporate Gift Ideas Co.,San Francisco,CA,USA,Large
10169,30,100.0,3000.0,4,11,2003,Classic Cars,"Anna's Decorations, Ltd",North Sydney,NSW,Australia,Medium
10181,27,100.0,2700.0,4,11,2003,Classic Cars,Herkku Gifts,Bergen,,Norway,Medium
10191,21,100.0,2100.0,4,11,2003,Classic Cars,"Toms Spezialitten, Ltd",Koln,,Germany,Medium
10203,20,100.0,2000.0,4,12,2003,Classic Cars,Euro Shopping Channel,Madrid,,Spain,Medium
10211,41,100.0,4100.0,1,1,2004,Classic Cars,Auto Canal Petit,Paris,,France,Large
10225,27,100.0,2700.0,1,2,2004,Classic Cars,"Vida Sport, Ltd",Gensve,,Switzerland,Medium
10238,28,100.0,2800.0,2,4,2004,Classic Cars,Danish Wholesale Imports,Kobenhavn,,Denmark,Medium
10253,24,100.0,2400.0,2,6,2004,Classic Cars,"UK Collectables, Ltd.",Liverpool,,UK,Medium
10266,44,100.0,4400.0,3,7,2004,Classic Cars,L'ordine Souveniers,Reggio Emilia,,Italy,Large
10276,50,100.0,5000.0,3,8,2004,Classic Cars,Online Mini Collectables,Brickhaven,MA,USA,Large
10287,21,100.0,2100.0,3,8,2004,Classic Cars,"Vida Sport, Ltd",Gensve,,Switzerland,Medium
10300,33,100.0,3300.0,4,10,2003,Classic Cars,"Blauer See Auto, Co.",Frankfurt,,Germany,Medium
10310,33,100.0,3300.0,4,10,2004,Classic Cars,"Toms Spezialitten, Ltd",Koln,,Germany,Medium
10320,31,100.0,3100.0,4,11,2004,Classic Cars,"Volvo Model Replicas, Co",Lule,,Sweden,Medium
10329,41,71.47,2930.27,4,11,2004,Classic Cars,Land of Toys Inc.,NYC,NY,USA,Small
10341,45,79.65,3584.25,4,11,2004,Classic Cars,Salzburg Collectables,Salzburg,,Austria,Medium
10363,33,85.39,2817.87,1,1,2005,Classic Cars,Suominen Souveniers,Espoo,,Finland,Small
10375,45,76.0,3420.0,1,2,2005,Classic Cars,La Rochelle Gifts,Nantes,,France,Medium
10389,26,99.04,2575.04,1,3,2005,Classic Cars,Scandinavian Gift Ideas,Boras,,Sweden,Small
10419,12,100.0,1200.0,2,5,2005,Classic Cars,Salzburg Collectables,Salzburg,,Austria,Small
10105,41,100.0,4100.0,1,2,2003,Classic Cars,Danish Wholesale Imports,Kobenhavn,,Denmark,Large
10117,33,100.0,3300.0,2,4,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,,Singapore,Medium
10127,46,100.0,4600.0,2,6,2003,Classic Cars,Muscle Machine Inc,NYC,NY,USA,Large
10142,33,100.0,3300.0,3,8,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Large
10153,20,100.0,2000.0,3,9,2003,Classic Cars,Euro Shopping Channel,Madrid,,Spain,Medium
10165,44,100.0,4400.0,4,10,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,,Singapore,Large
10176,33,100.0,3300.0,4,11,2003,Classic Cars,L'ordine Souveniers,Reggio Emilia,,Italy,Large
10185,21,100.0,2100.0,4,11,2003,Classic Cars,Mini Creations Ltd.,New Bedford,MA,USA,Medium
10196,47,100.0,4700.0,4,11,2003,Classic Cars,Super Scale Inc.,New Haven,CT,USA,Large
10208,46,100.0,4600.0,1,1,2004,Classic Cars,"Saveley & Henriot, Co.",Lyon,,France,Large
10220,32,100.0,3200.0,1,2,2004,Classic Cars,"Clover Collections, Co.",Dublin,,Ireland,Large
10231,42,100.0,4200.0,1,3,2004,Classic Cars,CAF Imports,Madrid,,Spain,Large
10247,44,100.0,4400.0,2,5,2004,Classic Cars,Suominen Souveniers,Espoo,,Finland,Large
10272,35,100.0,3500.0,3,7,2004,Classic Cars,Diecast Classics Inc.,Allentown,PA,USA,Medium
10282,41,100.0,4100.0,3,8,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Large
10293,46,100.0,4600.0,3,9,2004,Classic Cars,Amica Models & Co.,Torino,,Italy,Large
10306,31,100.0,3100.0,4,10,2004,Classic Cars,"AV Stores, Co.",Manchester,,UK,Medium
10314,38,100.0,3800.0,4,10,2004,Classic Cars,Heintze Collectables,Aaarhus,,Denmark,Large
10325,42,64.0,2688.0,4,11,2004,Classic Cars,Baane Mini Imports,Stavern,,Norway,Small
10336,33,57.22,1888.26,4,11,2004,Classic Cars,"La Corne D'abondance, Co.",Paris,,France,Small
10348,48,52.36,2513.28,4,11,2004,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,,Spain,Small
10359,42,100.0,4200.0,4,12,2004,Classic Cars,Reims Collectables,Reims,,France,Medium
10371,32,100.0,3200.0,1,1,2005,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Medium
10382,34,100.0,3400.0,1,2,2005,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Medium
10395,33,69.12,2280.96,1,3,2005,Classic Cars,Lyon Souveniers,Paris,,France,Small
10413,36,100.0,3600.0,2,5,2005,Classic Cars,Gift Depot Inc.,Bridgewater,CT,USA,Large
10103,27,100.0,2700.0,1,1,2003,Trucks and Buses,Baane Mini Imports,Stavern,,Norway,Medium
10113,21,100.0,2100.0,1,3,2003,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Medium
10126,21,100.0,2100.0,2,5,2003,Trucks and Buses,"Corrida Auto Replicas, Ltd",Madrid,,Spain,Small
10140,38,100.0,3800.0,3,7,2003,Trucks and Buses,Technics Stores Inc.,Burlingame,CA,USA,Medium
10150,30,100.0,3000.0,3,9,2003,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,,Singapore,Medium
10164,49,100.0,4900.0,4,10,2003,Trucks and Buses,Mini Auto Werke,Graz,,Austria,Medium
10174,43,100.0,4300.0,4,11,2003,Trucks and Buses,"Australian Gift Network, Co",South Brisbane,Queensland,Australia,Medium
10183,41,100.0,4100.0,4,11,2003,Trucks and Buses,"Classic Gift Ideas, Inc",Philadelphia,PA,USA,Medium
10194,38,100.0,3800.0,4,11,2003,Trucks and Buses,"Saveley & Henriot, Co.",Lyon,,France,Medium
10206,28,100.0,2800.0,4,12,2003,Trucks and Buses,Canadian Gift Exchange Network,Vancouver,BC,Canada,Medium
10216,43,100.0,4300.0,1,2,2004,Trucks and Buses,Auto Assoc. & Cie.,Versailles,,France,Medium
10229,25,100.0,2500.0,1,3,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Medium
10245,38,100.0,3800.0,2,5,2004,Trucks and Buses,Super Scale Inc.,New Haven,CT,USA,Medium
10258,41,100.0,4100.0,2,6,2004,Trucks and Buses,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,Japan,Medium
10270,28,100.0,2800.0,3,7,2004,Trucks and Buses,Souveniers And Things Co.,Chatswood,NSW,Australia,Medium
10281,25,100.0,2500.0,3,8,2004,Trucks and Buses,Diecast Classics Inc.,Allentown,PA,USA,Small
10291,41,100.0,4100.0,3,9,2004,Trucks and Buses,Scandinavian Gift Ideas,Boras,,Sweden,Medium
10304,39,100.0,3900.0,4,10,2004,Trucks and Buses,Auto Assoc. & Cie.,Versailles,,France,Medium
10313,21,100.0,2100.0,4,10,2004,Trucks and Buses,Canadian Gift Exchange Network,Vancouver,BC,Canada,Small
10322,27,100.0,2700.0,4,11,2004,Trucks and Buses,Online Diecast Creations Co.,Nashua,NH,USA,Medium
10333,33,99.21,3273.93,4,11,2004,Trucks and Buses,Mini Wheels Co.,San Francisco,CA,USA,Medium
10347,29,100.0,2900.0,4,11,2004,Trucks and Buses,"Australian Collectors, Co.",Melbourne,Victoria,Australia,Medium
10357,49,100.0,4900.0,4,12,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,Medium
10370,49,100.0,4900.0,1,1,2005,Trucks and Buses,"Anna's Decorations, Ltd",North Sydney,NSW,Australia,Large
10381,20,100.0,2000.0,1,2,2005,Trucks and Buses,Corporate Gift Ideas Co.,San Francisco,CA,USA,Small
10391,39,63.2,2464.8,1,3,2005,Trucks and Buses,"Anna's Decorations, Ltd",North Sydney,NSW,Australia,Small
10411,40,100.0,4000.0,2,5,2005,Trucks and Buses,Quebec Home Shopping Network,Montreal,Quebec,Canada,Medium
10424,49,100.0,4900.0,2,5,2005,Trucks and Buses,Euro Shopping Channel,Madrid,,Spain,Large
10107,21,100.0,2100.0,1,2,2003,Motorcycles,Land of Toys Inc.,NYC,NY,USA,Medium
10121,50,100.0,5000.0,2,5,2003,Motorcycles,Reims Collectables,Reims,,France,Large
10134,20,100.0,2000.0,3,7,2003,Motorcycles,Lyon Souveniers,Paris,,France,Small
10145,49,100.0,4900.0,3,8,2003,Motorcycles,Toys4GrownUps.com,Pasadena,CA,USA,Large
10159,38,100.0,3800.0,4,10,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,CA,USA,Medium
10169,35,100.0,3500.0,4,11,2003,Motorcycles,"Anna's Decorations, Ltd",North Sydney,NSW,Australia,Medium
10180,40,100.0,4000.0,4,11,2003,Motorcycles,Daedalus Designs Imports,Lille,,France,Medium
10189,28,100.0,2800.0,4,11,2003,Motorcycles,Toys4GrownUps.com,Pasadena,CA,USA,Medium
